dataset,n,p,density,model,screening_type,mean_time,lo,hi
arcene,100,10000,0.540941,Logistic,Blitz,4.916465495265649,4.908959562271164,4.923971428260133
arcene,100,10000,0.540941,Logistic,Celer,4.581420824954945,4.57319430627359,4.5896473436363
arcene,100,10000,0.540941,Logistic,Hessian,5.7785957927748814,5.761159478514722,5.796032107035041
arcene,100,10000,0.540941,Logistic,Working,4.2911145657742695,4.28348094974681,4.298748181801729
bcTCGA,536,17322,1,Least-Squares,Blitz,11.403665303298306,11.373541077960017,11.433789528636595
bcTCGA,536,17322,1,Least-Squares,Celer,10.652536701478947,10.608971127139016,10.696102275818879
bcTCGA,536,17322,1,Least-Squares,Hessian,2.814798288582734,2.8136176092327525,2.815978967932715
bcTCGA,536,17322,1,Least-Squares,Working,7.515607044268687,7.503912112764656,7.527301975772717
colon-cancer,62,2000,1,Logistic,Blitz,0.20792175073126024,0.20757332996061326,0.20827017150190721
colon-cancer,62,2000,1,Logistic,Celer,0.17964886515831874,0.17950924468193646,0.179788485634701
colon-cancer,62,2000,1,Logistic,Hessian,0.057893402452387846,0.05771409032784823,0.05807271457692746
colon-cancer,62,2000,1,Logistic,Working,0.143604959425192,0.14330604172148587,0.14390387712889813
duke-breast-cancer,44,7129,1,Logistic,Blitz,0.23945416181973392,0.23925732024517588,0.23965100339429196
duke-breast-cancer,44,7129,1,Logistic,Celer,0.2391671997647202,0.2388604033415405,0.2394739961878999
duke-breast-cancer,44,7129,1,Logistic,Hessian,0.10657981549416196,0.1063943926796568,0.10676523830866712
duke-breast-cancer,44,7129,1,Logistic,Working,0.18903134829389,0.1888599070171976,0.18920278957058242
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Blitz,865.3237459039167,845.6839862056459,884.9635056021875
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Celer,955.3784497323333,902.6225913616508,1008.1343081030157
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Hessian,241.12334350163334,240.03594422685552,242.21074277641117
e2006-log1p,16087,4272227,0.0014074729668371701,Least-Squares,Working,536.0761916605238,529.1647430542507,542.9876402667969
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Blitz,367.78052386708333,351.92773612836976,383.6333116057969
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Celer,393.9652218303333,390.10936620566054,397.82107745500605
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Hessian,56.5118321222,52.75611264362955,60.267551600770446
e2006-tfidf,16087,150360,0.00825643866543507,Least-Squares,Working,215.45644161038095,211.5152916460275,219.3975915747344
ijcnn1,35000,22,1,Logistic,Blitz,3.4892785170371132,3.4776250958353097,3.500931938238917
ijcnn1,35000,22,1,Logistic,Celer,3.4653766169924305,3.46053447941431,3.470218754570551
ijcnn1,35000,22,1,Logistic,Hessian,0.876863339922372,0.8753296705108932,0.8783970093338508
ijcnn1,35000,22,1,Logistic,Working,4.660861374098188,4.641561048314358,4.680161699882017
madelon,2000,500,1,Logistic,Blitz,272.7591757824286,269.631535729476,275.8868158353812
madelon,2000,500,1,Logistic,Celer,280.44440465062667,278.04401150235816,282.8447977988952
madelon,2000,500,1,Logistic,Hessian,48.810338989725494,48.62895634107263,48.99172163837836
madelon,2000,500,1,Logistic,Working,259.49367100580645,257.61708121190674,261.37026079970616
news20,19996,1355191,3.3573628909834254e-4,Logistic,Blitz,2570.398482341583,2556.8916938536704,2583.9052708294957
news20,19996,1355191,3.3573628909834254e-4,Logistic,Celer,2742.9615093556667,2731.0855287235813,2754.837489987752
news20,19996,1355191,3.3573628909834254e-4,Logistic,Hessian,1073.1067245323002,1068.7310276432202,1077.4824214213802
news20,19996,1355191,3.3573628909834254e-4,Logistic,Working,1781.9842884675238,1779.822857981457,1784.1457189535906
rcv1,20242,47236,0.0015676936220516574,Logistic,Blitz,346.7989919117917,346.3665528223622,347.23143100122115
rcv1,20242,47236,0.0015676936220516574,Logistic,Celer,344.18879246002564,342.1060397573243,346.27154516272697
rcv1,20242,47236,0.0015676936220516574,Logistic,Hessian,356.59872652406057,355.40050647212456,357.79694657599657
rcv1,20242,47236,0.0015676936220516574,Logistic,Working,312.44017473466664,310.7558448877099,314.1245045816234
scheetz,120,18975,1,Least-Squares,Blitz,0.6928663594016949,0.6923122788773327,0.6934204399260572
scheetz,120,18975,1,Least-Squares,Celer,0.7748309988368421,0.7741469619424632,0.775515035731221
scheetz,120,18975,1,Least-Squares,Hessian,0.3435208328870504,0.3428164654961252,0.34422520027797554
scheetz,120,18975,1,Least-Squares,Working,0.6228081137252526,0.6219484774826847,0.6236677499678205
YearPredictionMSD,463715,90,1,Least-Squares,Blitz,716.6885709543542,713.0263420610556,720.3507998476528
YearPredictionMSD,463715,90,1,Least-Squares,Celer,727.3615525929231,723.9927031362844,730.7304020495618
YearPredictionMSD,463715,90,1,Least-Squares,Hessian,85.90970557375758,85.37498909084421,86.44442205667094
YearPredictionMSD,463715,90,1,Least-Squares,Working,560.7754190084912,559.1680715668635,562.3827664501189
